SpecimenID	SpectrumID	Spectro	SpeShort	Wing	Side	Spot	SpecimenID.MEB	SpecimenID.ADN	Tribe	Tip.Label	New.TipLabel	Genus	species	mimicry.ring
21175	21175_OLERATHA_FW_V_v4_1811346U1	1811346U1	OLERATHA	FW	V	s4	21175		Ithomiini	Oleria_athalina_banjana	Oleria_athalina_banjana	Oleria 	athalina	banjana-m
21175	21175_OLERATHA_FW_V_v5_1811346U1	1811346U1	OLERATHA	FW	V	s5	21175		Ithomiini	Oleria_athalina_banjana	Oleria_athalina_banjana	Oleria 	athalina	banjana-m
21189	21189_GODYPANT_FW_V_v1_1811346U1	1811346U1	GODYPANT	FW	V	s1	21207		Ithomiini	Godyris_panthyale_panthyale	Godyris_panthyale_panthyale	Godyris	panthyale	panthyale
21189	21189_GODYPANT_FW_V_v2_1811346U1	1811346U1	GODYPANT	FW	V	s2	21207		Ithomiini	Godyris_panthyale_panthyale	Godyris_panthyale_panthyale	Godyris	panthyale	panthyale
21189	21189_GODYPANT_FW_V_v3_1811346U1	1811346U1	GODYPANT	FW	V	s3	21207		Ithomiini	Godyris_panthyale_panthyale	Godyris_panthyale_panthyale	Godyris	panthyale	panthyale
21189	21189_GODYPANT_FW_V_v4_1811346U1	1811346U1	GODYPANT	FW	V	s4	21207		Ithomiini	Godyris_panthyale_panthyale	Godyris_panthyale_panthyale	Godyris	panthyale	panthyale
21189	21189_GODYPANT_FW_V_v5_1811346U1	1811346U1	GODYPANT	FW	V	s5	21207		Ithomiini	Godyris_panthyale_panthyale	Godyris_panthyale_panthyale	Godyris	panthyale	panthyale
21272	21272_HYPOLYDI_FW_V_v1_1811346U1	1811346U1	HYPOLYDI	FW	V	s1	21272		Ithomiini	Hypomenitis_lydia	Hypomenitis_lydia	Hypomenitis	lydia	hewitsoni
21272	21272_HYPOLYDI_FW_V_v2_1811346U1	1811346U1	HYPOLYDI	FW	V	s2	21272		Ithomiini	Hypomenitis_lydia	Hypomenitis_lydia	Hypomenitis	lydia	hewitsoni
21272	21272_HYPOLYDI_FW_V_v3_1811346U1	1811346U1	HYPOLYDI	FW	V	s3	21272		Ithomiini	Hypomenitis_lydia	Hypomenitis_lydia	Hypomenitis	lydia	hewitsoni
