Code	Genus	Species	sex	Veine	Poil	Type.Poil	LongueurTot1	LongueurTot2	LongueurEchancrure	Largeur.Base	Largeur.Echancrure1	Largeur.Echancrure2
CP17-16	Ithomia	agnosia	m	V4	P10	monofide	136.77			3.85		
CP17-17	Ithomia	agnosia	m	V3	P1	bifide	96.04	94.77	16.85	3.24	2.58	2.28
CP17-17	Ithomia	agnosia	m	V3	P2	bifide	99.57	87.02	14.99	3.45	2.47	2.61
CP17-17	Ithomia	agnosia	m	V3	P3	bifide	97.26	107.32	17.82	3.25	2.82	2.58
CP17-17	Ithomia	agnosia	m	V3	P4	bifide	99.02	112.89	18.78	3.11	3.09	2.59
CP17-17	Ithomia	agnosia	m	V3	P5	bifide	98.65	88.37	15.8	3.26	2.48	2.89
CP17-17	Ithomia	agnosia	m	V3	P6	monofide	161.26			3.66		
CP17-17	Ithomia	agnosia	m	V3	P7	monofide	131.48			3.4		
CP17-17	Ithomia	agnosia	m	V3	P8	monofide	143.18			3.78		
CP17-17	Ithomia	agnosia	m	V3	P9	monofide	177.77			3.45		
CP17-17	Ithomia	agnosia	m	V3	P10	monofide	149.08			4.16		
CP17-17	Ithomia	agnosia	m	V4	P1	bifide	105.13	101.21	15.93	3.23	2.68	2.38
CP17-17	Ithomia	agnosia	m	V4	P2	bifide	117.5	128.11	14.5	3.75	3.24	3.29
CP17-17	Ithomia	agnosia	m	V4	P3	bifide	94.33	86.48	15.19	2.8	2.26	2.37
CP17-17	Ithomia	agnosia	m	V4	P4	bifide	111.21	104.76	14.96	3.04	2.51	2.56
